sample_idx,gt_pos_frac,prob_mean,prob_p99
138.0,0.0024261475,0.07603205,0.89796776
139.0,0.00045776367,0.041624956,0.58419466
140.0,0.002746582,0.08517768,0.4946364
141.0,0.0005950928,0.172625,0.7170439
142.0,0.0002746582,0.10858392,0.61742395
143.0,0.0002746582,0.10917269,0.6142803
144.0,0.0025482178,0.553886,0.9746271
145.0,0.0012512207,0.07247851,0.3654365
146.0,0.0002746582,0.025355013,0.41981804
147.0,0.0002593994,0.007903282,0.100948885
148.0,0.001449585,0.07326044,0.9204571
149.0,0.0007171631,0.10816551,0.61582726
150.0,0.00064086914,0.041129332,0.6556597
151.0,0.0001373291,0.08551901,0.36603984
152.0,0.005279541,0.07306308,0.69439656
153.0,0.00012207031,0.45498812,0.9691919
154.0,0.00090026855,0.5438808,0.8925825
155.0,0.007980347,0.029297162,0.5594751
156.0,0.0007324219,0.07718573,0.91463274
157.0,0.0005645752,0.15751004,0.6696719
158.0,0.0041503906,0.19562554,0.755647
159.0,0.4938507,0.80231,0.992534
160.0,0.004211426,0.7491451,0.9836666
161.0,0.0001373291,0.0376205,0.463193
162.0,0.0018310547,0.043898363,0.733133
163.0,0.00044250488,0.029879682,0.43666232
164.0,0.0007171631,0.2031533,0.7343973
165.0,0.005584717,0.09074339,0.94329005
166.0,0.0005493164,0.020691428,0.41897994
167.0,0.002960205,0.18777966,0.84329724
168.0,0.0032806396,0.0553604,0.8703474
169.0,0.0012817383,0.03050967,0.46315986
170.0,0.000289917,0.066984706,0.6293006
171.0,0.0002593994,0.24202701,0.9253366
172.0,0.0015563965,0.04585506,0.51121455
173.0,0.0004272461,0.6985269,0.98345095
174.0,0.00035095215,0.023337204,0.48345026
175.0,0.19371033,0.7744139,0.99981344
176.0,0.0010681152,0.09278854,0.5481954
177.0,0.0007324219,0.14099261,0.77859795
178.0,0.00088500977,0.10566793,0.66557544
179.0,1.0,0.99597174,0.9995248
180.0,0.0004272461,0.18852217,0.8677089
181.0,0.002319336,0.4089223,0.9591758
182.0,0.0001373291,0.03482574,0.61500126
183.0,0.0013122559,0.08246087,0.40367326
184.0,0.0009765625,0.10152561,0.42960256
185.0,0.0005493164,0.030109497,0.5481467
186.0,0.0009460449,0.214981,0.9695142
187.0,0.0005340576,0.17691718,0.6969701
188.0,0.0010986328,0.38162965,0.97959316
189.0,0.00039672852,0.10241757,0.6326571
190.0,0.0005493164,0.07898736,0.38323814
191.0,0.02168274,0.8278137,0.99040955
192.0,0.00091552734,0.04921057,0.8191348
193.0,0.0021972656,0.17138876,0.82624125
194.0,0.0011444092,0.09255798,0.42097628
195.0,0.032226562,0.45321158,0.99932224
196.0,0.00044250488,0.75159085,0.9806599
197.0,0.0016174316,0.34263343,0.9389007
198.0,0.0032653809,0.09163949,0.94274783
199.0,0.0004119873,0.6939054,0.9872532
200.0,0.010543823,0.07321842,0.7644015
201.0,0.00090026855,0.06923716,0.8062372
202.0,0.0054016113,0.17800051,0.8388078
203.0,0.3421173,0.4927675,0.99784535
204.0,0.00010681152,0.08001933,0.39671078
205.0,0.0040893555,0.5354086,0.959639
206.0,0.0021362305,0.034419738,0.6246388
207.0,0.00079345703,0.21740553,0.856546
208.0,0.002380371,0.116789274,0.6852158
209.0,0.0007324219,0.4148332,0.9231387
210.0,0.33815002,0.9754928,0.99964184
211.0,0.016098022,0.11804431,0.99063575
212.0,0.00015258789,0.11211608,0.6224608
213.0,0.00021362305,0.050995804,0.7766412
214.0,0.011871338,0.064397864,0.8302125
215.0,0.00032043457,0.582313,0.98403233
216.0,0.0013427734,0.5453468,0.9566954
217.0,0.00012207031,0.1769558,0.83524376
