threshold,precision,recall
0.04652040358164786,0.10917519920946926,0.9417045238159792
0.04382705106282954,0.10730665984322743,0.9430510595467809
0.04145887205798428,0.10549996239199068,0.9443431897935097
0.03926734789157631,0.10375259301267006,0.945587715241675
0.037234087179803366,0.10210978754038438,0.9472334811348769
0.03541165236477277,0.10051258331520152,0.9487749698502728
0.03374278807460364,0.09897778435662291,0.950395799896608
0.03216004326714943,0.09749368092428415,0.952012096152604
0.030693949878814852,0.09605638781326857,0.9536102572472422
0.029326702922058426,0.0946668287211094,0.9552220197128987
0.028081662990340032,0.09331696061792977,0.9567884442751612
0.02694290469227424,0.09200796993970291,0.9583412674664056
0.02592041294778412,0.09072982699454267,0.9597943472701831
0.024939318126694643,0.08950643599293574,0.9614197111068578
0.024013704802822222,0.08832914600287499,0.9631493521213387
0.023159271096763894,0.08718668692638028,0.9648812600309892
0.022475543230697146,0.08607653503995254,0.966604100359961
0.022204328066290323,0.08489824539619946,0.9671889593137435
0.02186249454866103,0.08377209348131687,0.9679937070989869
0.02106665193697616,0.0827823198224993,0.9700293789613773
0.02029622714947815,0.08183359206732257,0.9722305341711557
0.019582925364375114,0.08092313205950409,0.974583571357304
0.01889895275235176,0.08006553639537553,0.9772857103995861
0.018256554380059242,0.07925487002781915,0.9802893464994382
0.01766650378704071,0.07849929677147999,0.9837191588911939
0.017118284478783607,0.07776773984096394,0.9872079105573618
0.01657016947865486,0.07710808577803106,0.9913835314599486
0.016054737114876372,0.076391970898363,0.9946093232864314
0.015578768216073513,0.07573020518983782,0.9983179637840601
0.015093483030796051,0.07491691073377754,0.9997891787491953
0.014627116933539883,0.07401613335221832,0.999814114596062
0.014183229804226212,0.07313714705381466,0.999843584233268
0.013764582574367523,0.07227885457263589,0.9998730538704741
0.013358935442327254,0.07143951555954622,0.999888922136662
0.012957970125029738,0.07061997509129418,0.999911591088359
0.012572643225404183,0.0698187439239152,0.9999297262497167
0.012200671655299086,0.06903551790058671,0.9999478614110742
0.011851047591573035,0.0682689124582964,0.9999546620965833
0.011507454328238964,0.06751932940477225,0.9999637296772621
0.011179428547620773,0.06678557705147656,0.9999659965724318
0.01086948051973803,0.06606759438099381,0.9999682634676015
0.010568693771621387,0.06536474961106513,0.9999682634676015
0.010289455806115769,0.06467669204902081,0.9999682634676015
0.01001197706683347,0.0640031235545144,0.9999705303627712
0.009745365486073135,0.06334329943346725,0.9999705303627712
0.00948252435773611,0.06269695889496635,0.9999705303627712
0.009218028283224029,0.06206364041951573,0.9999705303627712
0.008961504325270653,0.06144314503323426,0.9999727972579409
0.008481407060695053,0.06023837254795116,0.9999727972579409
0.008263930678367615,0.05965354370745846,0.9999727972579409
0.00871484241818064,0.060834790350834285,0.9999727972579409
0.008049455471336842,0.05908009532188539,0.9999750641531107
0.007845741303534663,0.05851742140287869,0.9999750641531107
0.007657193300318927,0.05796535647457049,0.9999750641531107
0.007483843922259372,0.05742362572252879,0.9999750641531107
0.007323130342791126,0.05689192699298621,0.9999750641531107
0.007145589217543602,0.05636999137941823,0.9999750641531107
0.006968548212518645,0.05585765075526888,0.9999773310482803
0.00680130464375843,0.05535468109984551,0.9999818648386197
0.006639365764362878,0.05486056865458933,0.9999841317337894
0.0064832367934286594,0.0543753382072151,0.9999886655241288
0.00632108259599787,0.05389859397575266,0.9999931993144682
0.006165454915289453,0.05343002650486857,0.9999954662096379
0.0012870605668783115,0.0349118253468532,0.9999999999999774
0.001349984435364604,0.035111323714701166,0.9999999999999774
0.0014133480671166096,0.03531311236608145,0.9999999999999774
0.001476655173672354,0.03551723382766685,0.9999999999999774
0.0016669392124773119,0.03614400674486236,0.9999999999999774
0.0015413087240453043,0.03572372878789214,0.9999999999999774
0.0016044992953538895,0.035932644740790526,0.9999999999999774
0.0017258050165901981,0.03635787898690936,0.9999999999999774
0.0021300364166367144,0.03792889711782785,0.9999999999999774
0.0018409289186820388,0.03679330452136973,0.9999999999999774
0.001898344846596782,0.03701494721452308,0.9999999999999774
0.0019575168083810325,0.03723927958406461,0.9999999999999774
0.00201696646399796,0.037466357252619986,0.9999999999999774
0.0020763278428708493,0.03769620515365705,0.9999999999999774
0.0012258294994367204,0.03471458395452662,0.9999999999999774
0.0021823509596288204,0.03816448295894736,0.9999999999999774
0.0022340189190534643,0.03840300696975764,0.9999999999999774
0.0017848849529400468,0.036574297355574104,0.9999999999999774
0.0011668091174215078,0.03451956145260859,0.9999999999999774
0.0007785505450789317,0.03321341182403542,0.9999999999999774
0.0010520562063902617,0.03413600916707058,0.9999999999999774
9.685534837330463e-05,0.03103273473319199,0.9999999999999774
0.0001693624653853476,0.03119026306523388,0.9999999999999774
0.00022937305367858285,0.031349394391544626,0.9999999999999774
0.0002818036147032925,0.031510160057287025,0.9999999999999774
0.00033194381549448977,0.03167258537030864,0.9999999999999774
0.0003806585805776094,0.03183669156835607,0.9999999999999774
0.00042808991704772615,0.03200250720112996,0.9999999999999774
0.0004764229815918952,0.032170061464352834,0.9999999999999774
0.0011088422127536043,0.034326712594670745,0.9999999999999774
0.0005248416564427316,0.032339377105645814,0.9999999999999774
0.0006237830416809525,0.0326834120636977,0.9999999999999774
0.000674529361185248,0.03285818917361352,0.9999999999999774
0.0007265791102153385,0.03303484560194391,0.9999999999999774
0.002286164788529277,0.0386445413880084,0.9999999999999774
0.0008317401516251266,0.033393924033614644,0.9999999999999774
0.0008858165975154644,0.03357640143715752,0.9999999999999774
0.0009407125762663782,0.03376089438833766,0.9999999999999774
0.000996123931497036,0.03394741034139642,0.9999999999999774
0.0005736885359510779,0.03251048683778228,0.9999999999999774
0.0023341584019362926,0.038889129852942544,0.9999999999999774
0.002727017479354338,0.040691928454554965,0.9999999999999774
0.0024356858842262074,0.03938770007160877,0.9999999999999774
0.004186110105365515,0.0465491053744224,0.9999999999999774
0.004285192896317147,0.04690443608710765,0.9999999999999774
0.0043854499235749245,0.047265268783367044,0.9999999999999774
0.004486699588596821,0.04763164481269516,0.9999999999999774
0.004590008573971651,0.048003760801694925,0.9999999999999774
0.004689977969974279,0.04838175270503031,0.9999999999999774
0.004791357088834047,0.04876573924150064,0.9999999999999774
0.004899543710052967,0.04915585867807628,0.9999999999999774
0.005012735724449158,0.049552281390710606,0.9999999999999774
0.005127878106157084,0.049955133103615976,0.9999999999999774
0.00524543075536813,0.05036460023900608,0.9999999999999774
0.005363297681487986,0.05078083540674323,0.9999999999999774
0.005484632682055235,0.05120402563753146,0.9999999999999774
0.005611239188355417,0.051634298371688654,0.9999999999999774
0.005741899833083153,0.052071894371720974,0.9999999999999774
0.005878650534186682,0.05251693342881168,0.9999999999999774
0.006018020212650299,0.052969677029686496,0.9999999999999774
0.004085657186806202,0.04619911305394196,0.9999999999999774
0.003986287518081505,0.045854339718900294,0.9999999999999774
0.0038903779350221157,0.04551467888942743,0.9999999999999774
0.003798493416979909,0.04518001305834001,0.9999999999999774
0.002490472332831828,0.039641813534877515,0.9999999999999774
0.0025464356876909733,0.03989923798978502,0.9999999999999774
0.0026042936369776726,0.04016001663456341,0.9999999999999774
0.002665277392645577,0.040424219159433304,0.9999999999999774
0.0027885972522199154,0.04096321100048469,0.9999999999999774
0.002846276224941838,0.04123813110867367,0.9999999999999774
0.002910940272583809,0.0415167663429704,0.9999999999999774
0.0029765365179628134,0.04179920440403354,0.9999999999999774
0.0023834159452674076,0.039136823713331596,0.9999999999999774
0.003039820119738579,0.042085491556942384,0.9999999999999774
0.0031738216057419777,0.04267001476076149,0.9999999999999774
0.0032441713847219944,0.042968405658560624,0.9999999999999774
0.003312819404527545,0.0432709992335183,0.9999999999999774
0.003386584546969239,0.043577880599143956,0.9999999999999774
0.0034658170478352943,0.043889150276752165,0.9999999999999774
0.003545529441908002,0.044204907501101745,0.9999999999999774
0.003625876037403941,0.044525232044819514,0.9999999999999774
0.0037098319735378027,0.04485023284641161,0.9999999999999774
0.0031052360137990074,0.0423757314470728,0.9999999999999774
5.396196267604125e-10,0.030876791779179808,0.9999999999999774
