idx,gt_burn_frac,landcover_dom,iou_new,iou_old,delta_iou,f1_new,f1_old
28,0.0004425048828125,2,0.0,0.0,0.0,0.0,0.0
29,0.000640869140625,2,0.0,0.0,0.0,0.0,0.0
30,0.0001373291015625,2,0.0,0.0,0.0,0.0,0.0
31,0.0007781982421875,2,0.08799999999824,0.0,0.08799999999824,0.161764704177187,0.0
32,0.00927734375,2,0.0,0.0,0.0,0.0,0.0
33,0.00274658203125,2,0.0,0.0,0.0,0.0,0.0
34,0.000274658203125,11,0.0,0.0,0.0,0.0,0.0
35,0.0181884765625,2,0.11493288590507608,0.0,0.11493288590507608,0.2061700508189087,0.0
36,0.000640869140625,5,0.0,0.0,0.0,0.0,0.0
37,0.0006256103515625,2,0.0,0.0,0.0,0.0,0.0
38,0.062469482421875,11,0.5585333771776414,0.17198538367802196,0.38654799349961944,0.7167422674828369,0.29349407353799006
39,0.003662109375,7,0.0,0.0,0.0,0.0,0.0
40,0.0018310546875,2,0.0,0.0,0.0,0.0,0.0
41,9.1552734375e-05,2,0.0,0.0,0.0,0.0,0.0
42,0.0025787353515625,2,0.020202020201850152,0.0,0.020202020201850152,0.03960395799547172,0.0
43,0.00018310546875,2,0.0,0.0,0.0,0.0,0.0
44,0.0001983642578125,2,0.0,0.0,0.0,0.0,0.0
45,0.002716064453125,2,0.0,0.0,0.0,0.0,0.0
46,0.000396728515625,2,0.0,0.0,0.0,0.0,0.0
47,0.00030517578125,5,0.0,0.0,0.0,0.0,0.0
48,0.0092620849609375,11,0.0,0.0,0.0,0.0,0.0
49,0.0018157958984375,2,0.0,0.0,0.0,0.0,0.0
50,0.0057830810546875,2,0.0,0.0,0.0,0.0,0.0
51,0.0013427734375,2,0.0,0.0,0.0,0.0,0.0
52,0.007476806640625,5,0.0,0.0,0.0,0.0,0.0
53,0.00396728515625,2,0.0,0.0,0.0,0.0,0.0
54,0.0009307861328125,2,0.0,0.0,0.0,0.0,0.0
55,0.0004425048828125,2,0.0,0.0,0.0,0.0,0.0
56,0.001312255859375,2,0.0,0.0,0.0,0.0,0.0
