file_path,percentuale_nodata,supera_soglia
piedmont_new/fire_6888/fire_6888_2023-01-25_pre_landsat_1.tif,0.21%,NO
piedmont_new/fire_6888/fire_6888_2023-01-24_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6888/fire_6888_2023-01-21_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6888/fire_6888_2023-01-24_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6888/fire_6888_2023-01-19_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6888/fire_6888_2023-01-24_pre_landsat_2.tif,4.55%,NO
piedmont_new/fire_6785/fire_6785_2022-06-15_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6785/fire_6785_2022-06-15_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6785/fire_6785_2022-06-13_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6785/fire_6785_2022-06-18_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6496/fire_6496_2021-02-18_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6496/fire_6496_2021-02-20_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6496/fire_6496_2021-02-19_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_6496/fire_6496_2021-02-20_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6496/fire_6496_2021-02-19_pre_landsat_3.tif,100.00%,YES
piedmont_new/fire_6496/fire_6496_2021-02-18_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6496/fire_6496_2021-02-23_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6496/fire_6496_2021-02-25_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6311/fire_6311_2020-09-08_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6311/fire_6311_2020-09-03_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6311/fire_6311_2020-09-05_pre_landsat_1.tif,0.00%,NO
piedmont_new/fire_5307/fire_5307_2017-03-18_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_5307/fire_5307_2017-03-12_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6760/fire_6760_2022-03-25_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-27_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-27_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_6760/fire_6760_2022-03-27_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-25_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-22_pre_sentinel_7.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-27_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6760/fire_6760_2022-03-27_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-20_pre_sentinel_9.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-22_pre_sentinel_6.tif,0.00%,NO
piedmont_new/fire_6760/fire_6760_2022-03-20_pre_sentinel_8.tif,0.00%,NO
piedmont_new/fire_6661/fire_6661_2022-03-27_pre_landsat_2.tif,65.76%,YES
piedmont_new/fire_6661/fire_6661_2022-03-30_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6661/fire_6661_2022-03-27_pre_sentinel_4.tif,0.00%,NO
