threshold,IoU,Precision,Recall,F1,Accuracy,tp,tn,fp,fn
0.21,0.0957330028006824,0.09616416798720576,0.9552605569307836,0.1747378269076175,0.7213949500967598,421396,9885064,3960652,19736
0.22,0.09733726460812793,0.09780942976847361,0.9527488370827564,0.1774062848696915,0.7271921000349407,420288,9968995,3876721,20844
0.23,0.09890768752685454,0.09942271553530604,0.9502325834443897,0.18001091030159885,0.7326985630420365,419178,10048775,3796941,21954
0.24,0.1004220942013158,0.10098352338616134,0.9475417788779561,0.1825155888322212,0.7379162989625139,417991,10124507,3721209,23141
0.25,0.10192842113912251,0.1025382718673451,0.9448668425777104,0.1850000747972388,0.7429495295253364,416811,10197596,3648120,24321
0.26,0.10343104700542584,0.10409022934451935,0.9423052510359498,0.18747169802349453,0.7477933551193372,415681,10267929,3577787,25451
0.27,0.10493970124622039,0.10564947837815704,0.9398320684058074,0.18994647422681518,0.7524887924894276,414590,10336103,3509613,26542
0.28,0.10645177816961665,0.10721490431986697,0.9373271492432891,0.19242009322194553,0.7570659392470609,413485,10402601,3443115,27647
0.29,0.10799238421588919,0.10880891343034402,0.9350262506460439,0.19493343947077849,0.7615313048756446,412470,10467412,3378304,28662
0.3,0.10958749464166348,0.11045624468304907,0.9330359166870476,0.19752835016738277,0.765921916436711,411592,10531018,3314698,29540
0.31,0.11118745641278846,0.11211117814217167,0.931009312405336,0.20012366897268485,0.7702050165298877,410698,10593104,3252612,30434
0.32,0.11279612661121664,0.1137769720257196,0.9289985763898123,0.20272558976822036,0.7743806051551744,409811,10653647,3192069,31321
0.33,0.11440802913622519,0.11544785313484177,0.9270195769066645,0.20532520413986768,0.7784365032790993,408938,10712466,3133250,32194
0.34,0.1160260168111947,0.11712554076773057,0.9251471214964925,0.20792708046271496,0.7823658514460288,408112,10769430,3076286,33020
0.35000000000000003,0.11764622630746317,0.11880659338864347,0.9233449398365813,0.2105249808202193,0.7861738292449106,407317,10824629,3021087,33815
0.36,0.11928326338063555,0.12050826263259873,0.9214724844264093,0.2131422243830985,0.7899265114320523,406491,10879069,2966647,34641
0.37,0.12094786701593907,0.1222424880610029,0.9194866842577523,0.21579570185878968,0.7936549755411405,405615,10933213,2912503,35517
0.38,0.12258679510639041,0.12395453636346615,0.9174215427581559,0.2184005628136943,0.7972496802653736,404704,10985481,2860235,36428
0.39,0.1242030975549194,0.12565056201772934,0.9151229110560803,0.220962024800823,0.8007572419052819,403690,11036607,2809109,37442
0.4,0.12576559387468633,0.12729740659318384,0.9126746642728046,0.22343122466997065,0.8041091358989745,402610,11085575,2760141,38522
0.41000000000000003,0.12730814866769913,0.12892860812824292,0.9101448092634198,0.2258621967612823,0.8073596079415132,401494,11133130,2712586,39638
0.42,0.1288390176080019,0.1305539747480261,0.9074766736486832,0.2282681841381122,0.8105395255832492,400317,11179738,2665978,40815
0.43,0.13037883880780096,0.13219260497221333,0.9047836021870799,0.23068166719754166,0.8136626777298949,399129,11225546,2620170,42003
0.44,0.13198799367585534,0.13390122092917597,0.9023194871376163,0.2331968062196704,0.8167754007041996,398042,11271104,2574612,43090
0.45,0.13365011215087902,0.13566802201967262,0.8998553720881527,0.23578723175292773,0.8198937232341236,396955,11316742,2528974,44177
0.46,0.13529116191309534,0.13742068651840025,0.8972303074816405,0.2383373801263668,0.8229334420020422,395797,11361328,2484388,45335
0.47000000000000003,0.1369537207937698,0.1391978573224779,0.8946800504157283,0.24091344610490215,0.8259154853470824,394672,11405057,2440659,46460
0.48,0.13865040186326383,0.14101746277942262,0.892009647905822,0.24353462712383533,0.8288960588087724,393494,11448818,2396898,47638
0.49,0.14037197969978968,0.14286562192422442,0.8894072522510067,0.2461862985741004,0.8318244164143128,392346,11491803,2353913,48786
0.5,0.14211570014925345,0.14474405310583927,0.886702846313555,0.2488639264005434,0.8347289059140262,391153,11534492,2311224,49979
0.51,0.14389721738026626,0.14666562364960892,0.884036977593988,0.25159116360770367,0.8376037177689573,389977,11576740,2268976,51155
0.52,0.14571592089270194,0.1486318224895905,0.8813416392372151,0.25436657869676904,0.8404592111570021,388788,11618725,2226991,52344
0.53,0.14753293919240393,0.1506055256081968,0.8785148209605995,0.2571306368994503,0.8432636086000209,387541,11660038,2185678,53591
0.54,0.1493821798460172,0.1526219437262736,0.8755791917158384,0.25993473887541857,0.8460558270095679,386246,11701225,2144491,54886
0.55,0.1512884605858356,0.15471402265947207,0.8723329978328285,0.2628159046010215,0.8488985114141336,384814,11743270,2102446,56318
0.56,0.1532114106229801,0.15682975616340794,0.869120807377364,0.26571261386817563,0.8516812105791279,383397,11784443,2061273,57735
0.5700000000000001,0.15521324991851632,0.15904015324234505,0.8657794038972265,0.26871791578727416,0.8545017767389974,381923,11826214,2019502,59209
0.58,0.1572312068980478,0.16128281322349305,0.8622385136421555,0.27173689133967543,0.8572982648097042,380361,11867729,1977987,60771
0.59,0.1593056600472761,0.16359287198630434,0.8587338937097998,0.274829432787404,0.8600742445079553,378815,11908935,1936781,62317
