threshold,IoU,Precision,Recall,F1,Accuracy,tp,tn,fp,fn
0.4,0.20970664199529587,0.21691356154067745,0.8632336806216537,0.3467066026982217,0.8995530714682477,380800,12470978,1374738,60332
0.41000000000000003,0.21198666970135013,0.21946999252086954,0.8614405665424213,0.34981683056365553,0.9011259166472543,380009,12494240,1351476,61123
0.42,0.21424322420389888,0.2220047837759035,0.8597086586327707,0.3528835375857618,0.9026436062034111,379245,12516687,1329029,61887
0.43,0.2164554312051906,0.22450788452639314,0.8578520714887866,0.3558789309541602,0.9041174092424019,378426,12538562,1307154,62706
0.44,0.2187576394802534,0.22711285817730287,0.8560385553530269,0.3589846420226789,0.9056052111704409,377626,12560618,1285098,63506
0.45,0.22111632465615416,0.22979807529267537,0.8540731572408972,0.3621543961888396,0.907107851920871,376759,12582953,1262763,64373
0.46,0.22355604824848718,0.23257875885315754,0.8521281611852948,0.3654201971499779,0.9086179820769418,375901,12605386,1240330,65231
0.47000000000000003,0.22620654548437197,0.23559660183074838,0.8501990333958803,0.3689534103925212,0.9102007664671725,375050,12628850,1216866,66082
0.48,0.2288548633218032,0.23862493551116773,0.8482449697595992,0.3724684957465783,0.9117470137569876,374188,12651803,1193913,66944
0.49,0.2314310777175398,0.24158739793861245,0.8462727709619604,0.37587337168572904,0.9132231966071167,373318,12673763,1171953,67814
0.5,0.23405155265722985,0.24461813435664104,0.8441962949865155,0.379322160413243,0.914697139634998,372402,12695737,1149979,68730
0.51,0.23652141249574082,0.24749278179640172,0.8421583562289554,0.38255934419726584,0.9160632212227632,371503,12716153,1129563,69629
0.52,0.2389934307911092,0.25039430417982533,0.8399730692853649,0.3857864338257982,0.917415233927035,370539,12736433,1109283,70593
0.53,0.24144421360720053,0.2532861077776169,0.8377741809707562,0.38897311493798886,0.9187300795808838,369569,12756188,1089528,71563
0.54,0.24403976382201867,0.25636008508400404,0.8354710154783412,0.3923343428141247,0.9200898616685774,368553,12776631,1069085,72579
0.55,0.24663914583868674,0.25946120733781286,0.8330794410743081,0.39568650544063316,0.9214294853560415,367498,12796825,1048891,73634
0.56,0.2491755941876398,0.26251717748949815,0.8305926570731474,0.39894406049482667,0.9227224927429754,366401,12816395,1029321,74731
0.5700000000000001,0.2518240325595999,0.2657135126170693,0.8281058730719869,0.4023313560172668,0.9240330687356645,365304,12836216,1009500,75828
0.58,0.25459586000373097,0.2690613436519543,0.8256485587080323,0.40586114747306745,0.9253606533785472,364220,12856267,989449,76912
0.59,0.25739045623565354,0.2724545731473972,0.8231731091827202,0.40940417928249684,0.9266683595989816,363128,12876042,969674,78004
0.6,0.2602301785684741,0.275930989429486,0.8205752473182444,0.41298832645129574,0.9279739659860587,361982,12895841,949875,79150
0.61,0.26327034528537735,0.2796326584689123,0.8181587370673445,0.4168076039617953,0.9293070801901155,360916,12915953,929763,80216
0.62,0.26623833988351525,0.2832730868053784,0.815746760606784,0.42051852179029514,0.9305820290101772,359852,12935232,910484,81280
0.63,0.2691197875245692,0.28686120821127276,0.8131330304761202,0.4241046238872883,0.9318141412297514,358699,12953988,891728,82433
0.64,0.27183629452626534,0.29031524452100677,0.8102722087719592,0.42747056869861955,0.9329830484652731,357437,12971950,873766,83695
